word,meaning,level,part_of_speech,example
(n.) age,(名) 年齢,A1,noun,What is your age?
(n.) animal,(名) 動物,A1,noun,I like animals very much.
(n.) arm,(名) 腕,A1,noun,She raised her arm to ask a question.
(n.) bag,(名) かばん,A1,noun,He put his lunch in his bag.
(n.) ball,(名) ボール,A1,noun,The boy kicked the ball hard.
(n.) bed,(名) ベッド,A1,noun,I go to bed at ten o'clock.
(n.) bicycle,(名) 自転車,A1,noun,She rides her bicycle to school.
(n.) bird,(名) 鳥,A1,noun,A bird is singing in the tree.
(n.) birthday,(名) 誕生日,A1,noun,Today is my birthday.
(n.) box,(名) 箱,A1,noun,There is a box on the table.
(n.) bus,(名) バス,A1,noun,We take the bus every morning.
(n.) cake,(名) ケーキ,A1,noun,She made a birthday cake.
(n.) card,(名) カード,A1,noun,He sent me a birthday card.
(n.) chair,(名) いす,A1,noun,Please sit on this chair.
(n.) city,(名) 都市,A1,noun,Tokyo is a big city.
(n.) class,(名) 授業・クラス,A1,noun,Our class starts at eight.
(n.) clock,(名) 時計,A1,noun,The clock on the wall is old.
(n.) color,(名) 色,A1,noun,What is your favorite color?
(n.) computer,(名) コンピュータ,A1,noun,I use a computer every day.
(n.) country,(名) 国,A1,noun,Japan is a beautiful country.
(n.) cup,(名) カップ,A1,noun,She drinks coffee from a cup.
(n.) day,(名) 日,A1,noun,Every day is a new chance.
(n.) desk,(名) 机,A1,noun,My books are on the desk.
(n.) door,(名) ドア,A1,noun,Please close the door.
(n.) dream,(名) 夢,A1,noun,I had a good dream last night.
(n.) face,(名) 顔,A1,noun,She has a kind face.
(n.) father,(名) 父,A1,noun,My father works at a hospital.
(n.) finger,(名) 指,A1,noun,He cut his finger on paper.
(n.) fish,(名) 魚,A1,noun,I like to eat fish for dinner.
(n.) flower,(名) 花,A1,noun,She gave me a beautiful flower.
(n.) fruit,(名) 果物,A1,noun,Eat fruit every day to stay healthy.
(n.) game,(名) ゲーム,A1,noun,We play a card game after dinner.
(n.) garden,(名) 庭,A1,noun,My mother grows roses in the garden.
(n.) gift,(名) 贈り物,A1,noun,He brought a gift for his friend.
(n.) girl,(名) 女の子,A1,noun,The girl is reading a book.
(n.) hand,(名) 手,A1,noun,She waved her hand to say hello.
(n.) head,(名) 頭,A1,noun,He nodded his head.
(n.) home,(名) 家,A1,noun,I walk home after school.
(n.) horse,(名) 馬,A1,noun,The horse runs very fast.
(n.) hospital,(名) 病院,A1,noun,My mother works at a hospital.
(n.) hour,(名) 時間,A1,noun,We studied for one hour.
(n.) job,(名) 仕事,A1,noun,His job is very interesting.
(n.) key,(名) 鍵,A1,noun,I lost my key this morning.
(n.) leg,(名) 脚,A1,noun,He hurt his leg playing soccer.
(n.) letter,(名) 手紙,A1,noun,She wrote a letter to her friend.
(n.) library,(名) 図書館,A1,noun,I study at the library.
(n.) lion,(名) ライオン,A1,noun,A lion is a strong animal.
(n.) map,(名) 地図,A1,noun,He looked at the map to find the street.
